follower_id,link,followee_id
moon_jasal,https://www.threads.net/@eiwosodidj,eiwosodidj
moon_jasal,https://www.threads.net/@haeja_blue,haeja_blue
moon_jasal,https://www.threads.net/@skywhalestars,skywhalestars
moon_jasal,https://www.threads.net/@iwan_nakillme,iwan_nakillme
moon_jasal,https://www.threads.net/@silent_bin_519,silent_bin_519
moon_jasal,https://www.threads.net/@uulh_._08,uulh_._08
moon_jasal,https://www.threads.net/@wdw1011,wdw1011
moon_jasal,https://www.threads.net/@pablodanielwrite,pablodanielwrite
moon_jasal,https://www.threads.net/@requiem_o2,requiem_o2
moon_jasal,https://www.threads.net/@mind._._.04,mind._._.04
moon_jasal,https://www.threads.net/@oowl_hannl,oowl_hannl
moon_jasal,https://www.threads.net/@melora_gllomy,melora_gllomy
moon_jasal,https://www.threads.net/@dx.he_2,dx.he_2
moon_jasal,https://www.threads.net/@fixer_2023,fixer_2023
moon_jasal,https://www.threads.net/@80.235.7lm,80.235.7lm
moon_jasal,https://www.threads.net/@or_ors,or_ors
moon_jasal,https://www.threads.net/@cococ2610,cococ2610
moon_jasal,https://www.threads.net/@s_oo_r_04,s_oo_r_04
moon_jasal,https://www.threads.net/@08keh,08keh
moon_jasal,https://www.threads.net/@__deficienceamoureuse,__deficienceamoureuse
my_woo____ul,https://www.threads.net/@cheeezeees2,cheeezeees2
my_woo____ul,https://www.threads.net/@id_complete,id_complete
my_woo____ul,https://www.threads.net/@iel_sra,iel_sra
my_woo____ul,https://www.threads.net/@im._.fame,im._.fame
my_woo____ul,https://www.threads.net/@baby_luuv_,baby_luuv_
my_woo____ul,https://www.threads.net/@xkfcnf00,xkfcnf00
my_woo____ul,https://www.threads.net/@seyeonjeong,seyeonjeong
my_woo____ul,https://www.threads.net/@ian_doksoori,ian_doksoori
my_woo____ul,https://www.threads.net/@whateverslayy,whateverslayy
my_woo____ul,https://www.threads.net/@kim_duckhyun,kim_duckhyun
my_woo____ul,https://www.threads.net/@d_0_u_b_l_e_j,d_0_u_b_l_e_j
my_woo____ul,https://www.threads.net/@optical_calgary,optical_calgary
my_woo____ul,https://www.threads.net/@mark_dw_park,mark_dw_park
my_woo____ul,https://www.threads.net/@tootorojudy,tootorojudy
my_woo____ul,https://www.threads.net/@gaon_brow_,gaon_brow_
my_woo____ul,https://www.threads.net/@ha_plamodel,ha_plamodel
my_woo____ul,https://www.threads.net/@byellie_e,byellie_e
my_woo____ul,https://www.threads.net/@ju._.ice._,ju._.ice._
my_woo____ul,https://www.threads.net/@daiiiiiiiiiil,daiiiiiiiiiil
my_woo____ul,https://www.threads.net/@dkandlfmaaaaa,dkandlfmaaaaa
bboriya51,https://www.threads.net/@jiung6482,jiung6482
bboriya51,https://www.threads.net/@oksk3618,oksk3618
bboriya51,https://www.threads.net/@lumongshop,lumongshop
bboriya51,https://www.threads.net/@youtube_hj41420,youtube_hj41420
bboriya51,https://www.threads.net/@engtoontv,engtoontv
bboriya51,https://www.threads.net/@habyimam,habyimam
ryasien,https://www.threads.net/@iel_sra,iel_sra
ryasien,https://www.threads.net/@ji_sisters,ji_sisters
ryasien,https://www.threads.net/@im._.fame,im._.fame
ryasien,https://www.threads.net/@blu3_o_o_v,blu3_o_o_v
ryasien,https://www.threads.net/@orangehill_salasik,orangehill_salasik
ryasien,https://www.threads.net/@lifeistooshort.cl,lifeistooshort.cl
ryasien,https://www.threads.net/@_jitwo_o,_jitwo_o
ryasien,https://www.threads.net/@__geungmi,__geungmi
ryasien,https://www.threads.net/@jhhong0919,jhhong0919
ryasien,https://www.threads.net/@min1sugar,min1sugar
ryasien,https://www.threads.net/@hagosipeun__mal,hagosipeun__mal
ryasien,https://www.threads.net/@off_6pm,off_6pm
ryasien,https://www.threads.net/@habillerbienatelier,habillerbienatelier
ryasien,https://www.threads.net/@busement_,busement_
ryasien,https://www.threads.net/@_likeyourpurple,_likeyourpurple
ryasien,https://www.threads.net/@woodngngngn,woodngngngn
ryasien,https://www.threads.net/@mkmmji,mkmmji
ryasien,https://www.threads.net/@harusori_diary,harusori_diary
ryasien,https://www.threads.net/@orosi_naro,orosi_naro
ryasien,https://www.threads.net/@i_back_100,i_back_100
gh0422,https://www.threads.net/@iel_sra,iel_sra
gh0422,https://www.threads.net/@sojoonghan_,sojoonghan_
gh0422,https://www.threads.net/@loveme0421,loveme0421
gh0422,https://www.threads.net/@uni_bom_bom,uni_bom_bom
gh0422,https://www.threads.net/@jina__made,jina__made
gh0422,https://www.threads.net/@myonlyocean,myonlyocean
gh0422,https://www.threads.net/@kcm_return,kcm_return
gh0422,https://www.threads.net/@sohyunee718,sohyunee718
gh0422,https://www.threads.net/@miss_84mm,miss_84mm
gh0422,https://www.threads.net/@hwaononhwa,hwaononhwa
gh0422,https://www.threads.net/@seol_a_lee92,seol_a_lee92
gh0422,https://www.threads.net/@hagosipeun__mal,hagosipeun__mal
gh0422,https://www.threads.net/@_puum_kinn_,_puum_kinn_
gh0422,https://www.threads.net/@onzewxxlxx,onzewxxlxx
gh0422,https://www.threads.net/@h_rosemary0514,h_rosemary0514
gh0422,https://www.threads.net/@iiaoni,iiaoni
gh0422,https://www.threads.net/@kimsegyung93,kimsegyung93
gh0422,https://www.threads.net/@kimrebae,kimrebae
gh0422,https://www.threads.net/@hyeriboy02,hyeriboy02
gh0422,https://www.threads.net/@heejung03,heejung03
fall_1you,https://www.threads.net/@counsel_4u,counsel_4u
fall_1you,https://www.threads.net/@iel_sra,iel_sra
fall_1you,https://www.threads.net/@psyapple_personal,psyapple_personal
fall_1you,https://www.threads.net/@royoontraining,royoontraining
fall_1you,https://www.threads.net/@the.art.of_loving,the.art.of_loving
fall_1you,https://www.threads.net/@sokgshy_42,sokgshy_42
fall_1you,https://www.threads.net/@glglahffkeheo,glglahffkeheo
fall_1you,https://www.threads.net/@ohhfascinating,ohhfascinating
fall_1you,https://www.threads.net/@jyouthlee,jyouthlee
fall_1you,https://www.threads.net/@woodngngngn,woodngngngn
s_oo_r_04,https://www.threads.net/@moon_jasal,moon_jasal
s_oo_r_04,https://www.threads.net/@for_d_life,for_d_life
s_oo_r_04,https://www.threads.net/@haaning_06,haaning_06
s_oo_r_04,https://www.threads.net/@melora_gllomy,melora_gllomy
s_oo_r_04,https://www.threads.net/@saida._.1019,saida._.1019
s_oo_r_04,https://www.threads.net/@cococ2610,cococ2610
s_oo_r_04,https://www.threads.net/@ghost_drawer777,ghost_drawer777
s_oo_r_04,https://www.threads.net/@mind._._.04,mind._._.04
s_oo_r_04,https://www.threads.net/@ohye_ong_,ohye_ong_
s_oo_r_04,https://www.threads.net/@suicide_129,suicide_129
s_oo_r_04,https://www.threads.net/@maej_eum,maej_eum
s_oo_r_04,https://www.threads.net/@wktkfrleh_07,wktkfrleh_07
s_oo_r_04,https://www.threads.net/@dawn.1429,dawn.1429
s_oo_r_04,https://www.threads.net/@yubin0609,yubin0609
melora_gllomy,https://www.threads.net/@garm_gram,garm_gram
melora_gllomy,https://www.threads.net/@y.hs91,y.hs91
melora_gllomy,https://www.threads.net/@cickbear,cickbear
melora_gllomy,https://www.threads.net/@jules_tak,jules_tak
melora_gllomy,https://www.threads.net/@pinkintheblue,pinkintheblue
melora_gllomy,https://www.threads.net/@_juoni_,_juoni_
melora_gllomy,https://www.threads.net/@imyotree,imyotree
melora_gllomy,https://www.threads.net/@hu_lulul,hu_lulul
melora_gllomy,https://www.threads.net/@i_back_100,i_back_100
melora_gllomy,https://www.threads.net/@sunheejin89,sunheejin89
melora_gllomy,https://www.threads.net/@grabit4480,grabit4480
melora_gllomy,https://www.threads.net/@jianham9,jianham9
melora_gllomy,https://www.threads.net/@aeonianeuphoria___,aeonianeuphoria___
melora_gllomy,https://www.threads.net/@heebum5864,heebum5864
melora_gllomy,https://www.threads.net/@bluetomatomato,bluetomatomato
melora_gllomy,https://www.threads.net/@haeja_blue,haeja_blue
melora_gllomy,https://www.threads.net/@dkandlfmaaaaa,dkandlfmaaaaa
melora_gllomy,https://www.threads.net/@hermanos_aurora,hermanos_aurora
melora_gllomy,https://www.threads.net/@gloomygloww,gloomygloww
melora_gllomy,https://www.threads.net/@skywhalestars,skywhalestars
basasak_human_,https://www.threads.net/@sale.onul,sale.onul
basasak_human_,https://www.threads.net/@myerita12,myerita12
basasak_human_,https://www.threads.net/@frandly.kr,frandly.kr
basasak_human_,https://www.threads.net/@mbtilover_,mbtilover_
basasak_human_,https://www.threads.net/@myo_hagae,myo_hagae
basasak_human_,https://www.threads.net/@eatnayo_official,eatnayo_official
basasak_human_,https://www.threads.net/@pig__nie,pig__nie
basasak_human_,https://www.threads.net/@sleep_honeytip,sleep_honeytip
basasak_human_,https://www.threads.net/@yest_erdaynews,yest_erdaynews
basasak_human_,https://www.threads.net/@career_mypie,career_mypie
basasak_human_,https://www.threads.net/@junjyunjunjyun,junjyunjunjyun
basasak_human_,https://www.threads.net/@_mieumi,_mieumi
basasak_human_,https://www.threads.net/@yactopia_here,yactopia_here
basasak_human_,https://www.threads.net/@woodngngngn,woodngngngn
basasak_human_,https://www.threads.net/@tip_tip_tib,tip_tip_tib
basasak_human_,https://www.threads.net/@stepuplab_official,stepuplab_official
basasak_human_,https://www.threads.net/@hanbyul_hangyul_,hanbyul_hangyul_
basasak_human_,https://www.threads.net/@namu73462,namu73462
basasak_human_,https://www.threads.net/@moolnight_bckp,moolnight_bckp
basasak_human_,https://www.threads.net/@_puum_kinn_,_puum_kinn_
iseohyeon3002,https://www.threads.net/@thejmstyle,thejmstyle
iseohyeon3002,https://www.threads.net/@shy_pp._,shy_pp._
iseohyeon3002,https://www.threads.net/@dkandlfmaaaaa,dkandlfmaaaaa
iseohyeon3002,https://www.threads.net/@y.daeun_enfj,y.daeun_enfj
iseohyeon3002,https://www.threads.net/@h_y_o_y_o,h_y_o_y_o
iseohyeon3002,https://www.threads.net/@silent_bin_519,silent_bin_519
iseohyeon3002,https://www.threads.net/@amazef1,amazef1
iseohyeon3002,https://www.threads.net/@ak__albae,ak__albae
iseohyeon3002,https://www.threads.net/@songpu__,songpu__
iseohyeon3002,https://www.threads.net/@kimaramarama,kimaramarama
iseohyeon3002,https://www.threads.net/@ham_butler99,ham_butler99
iseohyeon3002,https://www.threads.net/@nomaon_,nomaon_
