,user,time,text,likes,comments,repost,share,url
0,gallery_tzakswan,2024-10-13,"매일 아침을 공허하고 지친 마음으로 시작하는 게 정말 힘들 것 같아. 하지만 그런 감정을 느끼는 게 잘못된 건 아니야. 너가 이미 성인이 되었더라도 모든 걸 혼자서 짊어질 필요는 없어. 가끔은 우리도 도움을 필요로 하고, 다른 사람에게 의지하는 건 괜찮은 일이야. 약하거나 창피하게 보일까 두려워할 필요 없어, 왜냐하면 누구나 각자의 짐을 가지고 있으니까.2",2.0,,,,https://www.threads.net/@s_oo_r_04/post/DBB6yfKBuV9
1,ccs6408,2024-08-30,아니 병원가봤어?,,,,,https://www.threads.net/@moon_jasal/post/C_QROWjBfWg
2,hohos2328,2024-08-29,"아련하게 떠오르는 풍경이 있는 사진, 서정시와 그림들을 만나보세요. 밉고 혐오스러운 생각들을 잠시 뒤로 한 채로.
지나간 것은 지나간대로 그냥 그런 일이 있었구나하고 흘려보내세요.1",1.0,,,,https://www.threads.net/@moon_jasal/post/C_NaBelB2wo
3,hwang_jeong_nam,2024-08-29,"일상으로 돌아가는것..쉽지 않죠..하지만 회복의 제일 빠른 방법 또한 평상시 하던일을 하는거라 합니다..
함부로 얘기할순 없지만, 40년,50년을 정신과에 입원생활 하신분 많이 보는데..당연한거지만, 아무리 좋은 의사도,약도,치료프로그램도..
결국 본인 의지가 제일 중요한것 같습니다..다른건 도움을 주는것 뿐이죠..1",1.0,,,,https://www.threads.net/@moon_jasal/post/C_NQSsLBcxm
4,hohos2328,2024-08-29,알을 깨고 세상으로 나오기 전에는 다 두려워요. 죽음이 두려운 이유가 앞일을 모르기 대문이잖아요. 앞으로 모든 일이 행복하기만 하지 않드라도 과감히 도전하세요.1,1.0,,,,https://www.threads.net/@moon_jasal/post/C_NQSsLBcxm
5,jinyjinyluv,2024-08-29,나도 너무 무서워 갑자기 병이 재발해서 또 입원해야하나 싶어 ㅠㅠㅠ 그마음 너무 잘알아1,1.0,,,,https://www.threads.net/@moon_jasal/post/C_NQSsLBcxm
6,hannnna_zzang,2024-08-29,"무서워하지 마세요 
잘 이겨낼수 있을거에요!!! 기도할게요☺️👍1",1.0,,,,https://www.threads.net/@moon_jasal/post/C_NQSsLBcxm
7,leesuji1996,2024-09-05,"You can do it  
번역하기1",1.0,,,,https://www.threads.net/@moon_jasal/post/C_NQSsLBcxm
8,mindgymkorea,2024-08-20,우울 보다는 희망 이라고 덧붙여 보면 어떨까요?2,2.0,,,,https://www.threads.net/@my_woo____ul/post/C-2uAGtTJjJ
9,rok2_127,2024-08-24,"소통 자주 하고 싶어서 팔로우 했어요
잘 부탁드려용😆11",1.0,1.0,,,https://www.threads.net/@my_woo____ul/post/C-2uAGtTJjJ
